"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,2.710798,"7-day click or 1-day view",2.5382,1068,1.004704,1063,0.00093633,1,1063,reach,2.55013885,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"20:00:00 - 20:59:59",active,10,Daily,66.505278,"7-day click or 1-day view",7.106024,9359,1.167686,8015,0.08109841,759,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"20:00:00 - 20:59:59",active,"Using ad set budget",0,63.792666,"7-day click or 1-day view",7.265679,8780,1.197001,7335,0.04384966,385,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"21:00:00 - 21:59:59",inactive,20,Daily,33.558413,"7-day click or 1-day view",5.353927,6268,1.121288,5590,0.05583918,350,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"21:00:00 - 21:59:59",inactive,20,Daily,10.916778,"7-day click or 1-day view",6.975577,1565,1.111506,1408,0.12076677,189,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,3.068772,"7-day click or 1-day view",2.441346,1257,1.034568,1215,0.00159109,2,1215,reach,2.52573835,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,5.238554,"7-day click or 1-day view",2.359709,2220,1.021629,2173,0.00045045,1,2173,reach,2.41074742,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,5.000039,"7-day click or 1-day view",2.393508,2089,1,2089,0.0004787,1,2089,reach,2.39350817,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,2.851357,"7-day click or 1-day view",2.702709,1055,1.043521,1011,0,,1011,reach,2.8203338,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"21:00:00 - 21:59:59",active,10,Daily,57.355927,"7-day click or 1-day view",6.552716,8753,1.216708,7194,0.07803039,683,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"21:00:00 - 21:59:59",active,"Using ad set budget",0,61.322562,"7-day click or 1-day view",7.042904,8707,1.182053,7366,0.04685885,408,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"22:00:00 - 22:59:59",inactive,20,Daily,24.806219,"7-day click or 1-day view",5.450718,4551,1.116536,4076,0.0619644,282,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"22:00:00 - 22:59:59",inactive,20,Daily,8.122483,"7-day click or 1-day view",6.99611,1161,1.030169,1127,0.11455642,133,,,,2025-11-08
