"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"15:00:00 - 15:59:59",inactive,25,Daily,1.07,"7-day click or 1-day view",6.604938,162,1.025316,158,0.08024691,13,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"15:00:00 - 15:59:59",inactive,25,Daily,0.69,"7-day click or 1-day view",6.699029,103,1.019802,101,0.02912621,3,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"15:00:00 - 15:59:59",inactive,25,Daily,22.93,"7-day click or 1-day view",8.849865,2591,1.251086,2071,0.03975299,103,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"15:00:00 - 15:59:59",inactive,25,Daily,23.35,"7-day click, 1-day view, or 1-day engaged-view",8.794727,2655,1.143411,2322,0.01468927,39,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"15:00:00 - 15:59:59",inactive,42,Daily,17.012815,"7-day click, 1-day view, or 1-day engaged-view",12.868998,1322,1.118443,1182,0.0075643,10,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"15:00:00 - 15:59:59",inactive,43,Daily,18.685828,"7-day click or 1-day view",12.634096,1479,1.318182,1122,0.01960784,29,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"16:00:00 - 16:59:59",inactive,25,Daily,25.58,"7-day click or 1-day view",6.656258,3843,1.133294,3391,0.07025761,270,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"16:00:00 - 16:59:59",inactive,25,Daily,23.720881,"7-day click or 1-day view",8.578981,2765,1.09505,2525,0.0596745,165,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"16:00:00 - 16:59:59",inactive,25,Daily,0.31,"7-day click or 1-day view",6.888889,45,1,45,0.08888889,4,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"16:00:00 - 16:59:59",inactive,25,Daily,0.28,"7-day click or 1-day view",7.179487,39,1.054054,37,0.02564103,1,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"16:00:00 - 16:59:59",inactive,25,Daily,24.01,"7-day click or 1-day view",8.538407,2812,1.230635,2285,0.04089616,115,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"16:00:00 - 16:59:59",inactive,25,Daily,25.02,"7-day click, 1-day view, or 1-day engaged-view",8.524702,2935,1.143804,2566,0.01022147,30,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"16:00:00 - 16:59:59",inactive,42,Daily,19.88329,"7-day click, 1-day view, or 1-day engaged-view",13.637373,1458,1.139063,1280,0.00685871,10,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"16:00:00 - 16:59:59",inactive,43,Daily,19.446065,"7-day click or 1-day view",13.174841,1476,1.319035,1119,0.01422764,21,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"17:00:00 - 17:59:59",inactive,25,Daily,29.04,"7-day click or 1-day view",6.896224,4211,1.083355,3887,0.06910473,291,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"17:00:00 - 17:59:59",inactive,25,Daily,24.810922,"7-day click or 1-day view",8.482366,2925,1.107535,2641,0.05641026,165,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"17:00:00 - 17:59:59",inactive,25,Daily,0.18,"7-day click or 1-day view",9.473684,19,1.055556,18,0.05263158,1,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"17:00:00 - 17:59:59",inactive,25,Daily,0.23,"7-day click or 1-day view",10,23,1,23,0.17391304,4,,,,Ongoing
