"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"04:00:00 - 04:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,2979,3271,,15.305333,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","04:00:00 - 04:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,2171,2400,,11.056651,Ongoing
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","05:00:00 - 05:59:59",inactive,10,Daily,"7-day click or 1-day view",,,701,780,,2.282115,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"05:00:00 - 05:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1416,1447,,5.161151,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"05:00:00 - 05:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1495,1559,,7.421967,2025-10-04
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","05:00:00 - 05:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,3119,3284,,11.315032,2025-06-09
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","05:00:00 - 05:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,4046,4431,,15.531403,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",873,reach,873,910,0.91740994,0.800899,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",393,reach,393,410,1.22291473,0.480605,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",602,reach,602,612,1.18089333,0.710898,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",9409,reach,9409,10445,0.60127487,5.657395,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"05:00:00 - 05:59:59",inactive,20,Daily,"7-day click or 1-day view",,,963,1015,,2.85,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"05:00:00 - 05:59:59",inactive,20,Daily,"7-day click or 1-day view",,,731,759,,2.74,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"05:00:00 - 05:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,2347,2598,,13.120293,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"05:00:00 - 05:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,2980,3436,,19.82,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"05:00:00 - 05:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,412,477,,2.390328,Ongoing
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"05:00:00 - 05:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,2830,3177,,13.655836,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","05:00:00 - 05:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,2558,2846,,12.576191,Ongoing
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","06:00:00 - 06:59:59",inactive,10,Daily,"7-day click or 1-day view",,,1230,1340,,4.364045,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"06:00:00 - 06:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2475,2573,,9.542128,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"06:00:00 - 06:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2214,2399,,11.222974,2025-10-04
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","06:00:00 - 06:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,6272,6569,,23.41041,2025-06-09
